destination_iso_country,Day of date,fl_ranking,fl_wow_change,fl_yoy_change,destination_country,flights_number_7days
PG,"June 2, 2020",1,0.96%,9.31%,Papua New Guinea,317
NR,"June 2, 2020",3,,0.00%,Nauru,2
FJ,"June 2, 2020",2,-4.88%,-84.52%,Fiji,39
WS,"June 3, 2020",4,100.00%,-94.59%,Samoa,2
TO,"June 3, 2020",5,0.00%,-96.15%,Tonga,1
PG,"June 3, 2020",1,4.50%,17.33%,Papua New Guinea,325
NR,"June 3, 2020",3,,0.00%,Nauru,2
FJ,"June 3, 2020",2,-5.00%,-85.10%,Fiji,38
WS,"June 4, 2020",5,100.00%,-94.29%,Samoa,2
TO,"June 4, 2020",6,0.00%,-96.67%,Tonga,1
SB,"June 4, 2020",4,-33.33%,-90.48%,Solomon Islands,2
PG,"June 4, 2020",1,9.39%,27.07%,Papua New Guinea,338
NR,"June 4, 2020",3,,0.00%,Nauru,2
FJ,"June 4, 2020",2,-2.50%,-84.88%,Fiji,39
WS,"June 5, 2020",6,-50.00%,-96.97%,Samoa,1
TO,"June 5, 2020",5,0.00%,-96.88%,Tonga,1
SB,"June 5, 2020",4,0.00%,-90.48%,Solomon Islands,2
PG,"June 5, 2020",1,7.96%,28.41%,Papua New Guinea,339
NR,"June 5, 2020",3,100.00%,0.00%,Nauru,2
FJ,"June 5, 2020",2,-7.50%,-85.82%,Fiji,37
WS,"June 6, 2020",7,-50.00%,-96.77%,Samoa,1
TO,"June 6, 2020",6,0.00%,-97.06%,Tonga,1
SB,"June 6, 2020",4,0.00%,-90.00%,Solomon Islands,2
PG,"June 6, 2020",1,8.68%,33.07%,Papua New Guinea,338
NR,"June 6, 2020",3,100.00%,0.00%,Nauru,2
FM,"June 6, 2020",5,,-95.45%,Micronesia (Federated States of),1
FJ,"June 6, 2020",2,-2.50%,-84.88%,Fiji,39
WS,"June 7, 2020",7,-50.00%,-96.77%,Samoa,1
TO,"June 7, 2020",6,0.00%,-97.14%,Tonga,1
SB,"June 7, 2020",4,0.00%,-90.00%,Solomon Islands,2
PG,"June 7, 2020",1,8.31%,30.89%,Papua New Guinea,339
NR,"June 7, 2020",3,100.00%,0.00%,Nauru,2
FM,"June 7, 2020",5,,-95.45%,Micronesia (Federated States of),1
FJ,"June 7, 2020",2,7.89%,-83.98%,Fiji,41
WS,"June 8, 2020",7,-50.00%,-96.77%,Samoa,1
TO,"June 8, 2020",6,0.00%,-97.22%,Tonga,1
SB,"June 8, 2020",4,0.00%,-90.00%,Solomon Islands,2
PG,"June 8, 2020",1,10.32%,27.61%,Papua New Guinea,342
NR,"June 8, 2020",3,100.00%,0.00%,Nauru,2
FM,"June 8, 2020",5,,-95.83%,Micronesia (Federated States of),1
FJ,"June 8, 2020",2,16.67%,-83.72%,Fiji,42
WS,"June 9, 2020",7,-50.00%,-96.88%,Samoa,1
TO,"June 9, 2020",6,0.00%,-97.14%,Tonga,1
SB,"June 9, 2020",3,100.00%,-89.47%,Solomon Islands,2
PG,"June 9, 2020",1,5.68%,25.94%,Papua New Guinea,335
NR,"June 9, 2020",5,-50.00%,-66.67%,Nauru,1
FM,"June 9, 2020",4,,-95.45%,Micronesia (Federated States of),1
FJ,"June 9, 2020",2,2.56%,-84.00%,Fiji,40
WS,"June 10, 2020",7,-50.00%,-96.97%,Samoa,1
TO,"June 10, 2020",6,0.00%,-96.77%,Tonga,1
SB,"June 10, 2020",4,,-89.47%,Solomon Islands,2
PG,"June 10, 2020",1,-1.23%,18.01%,Papua New Guinea,321
NR,"June 10, 2020",3,0.00%,-33.33%,Nauru,2
FM,"June 10, 2020",5,,-95.45%,Micronesia (Federated States of),1
FJ,"June 10, 2020",2,0.00%,-84.68%,Fiji,38
WS,"June 11, 2020",7,-50.00%,-97.14%,Samoa,1
TO,"June 11, 2020",6,0.00%,-96.43%,Tonga,1
PW,"June 11, 2020",5,,-93.33%,Palau,1
PG,"June 11, 2020",1,-7.99%,10.68%,Papua New Guinea,311
NR,"June 11, 2020",3,0.00%,-33.33%,Nauru,2
FM,"June 11, 2020",4,,-95.65%,Micronesia (Federated States of),1
FJ,"June 11, 2020",2,-5.13%,-84.96%,Fiji,37
WS,"June 12, 2020",8,0.00%,-97.44%,Samoa,1
TO,"June 12, 2020",7,0.00%,-96.00%,Tonga,1
SB,"June 12, 2020",3,0.00%,-88.89%,Solomon Islands,2
PW,"June 12, 2020",6,,-93.33%,Palau,1
PG,"June 12, 2020",1,-7.37%,11.74%,Papua New Guinea,314
NR,"June 12, 2020",5,-50.00%,-66.67%,Nauru,1
FM,"June 12, 2020",4,,-95.65%,Micronesia (Federated States of),1
FJ,"June 12, 2020",2,2.70%,-84.49%,Fiji,38
WS,"June 13, 2020",7,0.00%,-97.44%,Samoa,1
TO,"June 13, 2020",6,0.00%,-95.45%,Tonga,1
SB,"June 13, 2020",3,0.00%,-89.47%,Solomon Islands,2
PW,"June 13, 2020",5,,-92.86%,Palau,1
PG,"June 13, 2020",1,-7.40%,4.68%,Papua New Guinea,313
NR,"June 13, 2020",4,-50.00%,-66.67%,Nauru,1
FJ,"June 13, 2020",2,-5.13%,-84.84%,Fiji,37
WS,"June 14, 2020",7,0.00%,-97.37%,Samoa,1
TO,"June 14, 2020",6,0.00%,-94.74%,Tonga,1
SB,"June 14, 2020",3,0.00%,-89.47%,Solomon Islands,2
PW,"June 14, 2020",5,,-92.86%,Palau,1
PG,"June 14, 2020",1,-6.49%,2.92%,Papua New Guinea,317
NR,"June 14, 2020",4,-50.00%,-66.67%,Nauru,1
FJ,"June 14, 2020",2,-12.20%,-85.48%,Fiji,36
WS,"June 15, 2020",7,0.00%,-97.37%,Samoa,1
TO,"June 15, 2020",6,0.00%,-95.00%,Tonga,1
SB,"June 15, 2020",3,0.00%,-89.47%,Solomon Islands,2
PW,"June 15, 2020",5,,-93.33%,Palau,1
PG,"June 15, 2020",1,-6.14%,4.22%,Papua New Guinea,321
NR,"June 15, 2020",4,-50.00%,-66.67%,Nauru,1
FJ,"June 15, 2020",2,-14.29%,-85.48%,Fiji,36
WS,"June 16, 2020",8,0.00%,-97.37%,Samoa,1
TO,"June 16, 2020",7,0.00%,-95.24%,Tonga,1
SB,"June 16, 2020",3,0.00%,-90.00%,Solomon Islands,2
PW,"June 16, 2020",6,,-93.33%,Palau,1
PG,"June 16, 2020",1,-1.79%,1.86%,Papua New Guinea,329
NR,"June 16, 2020",5,0.00%,-66.67%,Nauru,1
FM,"June 16, 2020",4,0.00%,-95.45%,Micronesia (Federated States of),1
FJ,"June 16, 2020",2,-12.50%,-86.11%,Fiji,35
WS,"June 17, 2020",5,100.00%,-94.74%,Samoa,2
TO,"June 17, 2020",4,100.00%,-92.31%,Tonga,2
SB,"June 17, 2020",3,0.00%,-90.48%,Solomon Islands,2
PW,"June 17, 2020",8,,-93.33%,Palau,1
PG,"June 17, 2020",1,10.90%,12.30%,Papua New Guinea,356
MH,"June 17, 2020",7,,-90.00%,Marshall Islands (the),1
FM,"June 17, 2020",6,0.00%,-95.24%,Micronesia (Federated States of),1
FJ,"June 17, 2020",2,-7.89%,-86.17%,Fiji,35
WS,"June 18, 2020",3,200.00%,-92.11%,Samoa,3
TO,"June 18, 2020",7,0.00%,-96.30%,Tonga,1
SB,"June 18, 2020",4,,-90.48%,Solomon Islands,2
PG,"June 18, 2020",1,16.40%,16.77%,Papua New Guinea,362
MH,"June 18, 2020",6,,-90.91%,Marshall Islands (the),1
FM,"June 18, 2020",5,0.00%,-95.24%,Micronesia (Federated States of),1
FJ,"June 18, 2020",2,-8.11%,-86.77%,Fiji,34
WS,"June 19, 2020",3,200.00%,-91.43%,Samoa,3
TO,"June 19, 2020",7,0.00%,-96.67%,Tonga,1
SB,"June 19, 2020",6,-50.00%,-95.00%,Solomon Islands,1
PG,"June 19, 2020",1,16.88%,24.83%,Papua New Guinea,367
MH,"June 19, 2020",5,,-90.91%,Marshall Islands (the),1
FM,"June 19, 2020",4,0.00%,-95.24%,Micronesia (Federated States of),1
FJ,"June 19, 2020",2,-10.53%,-86.87%,Fiji,34
WS,"June 20, 2020",3,200.00%,-91.67%,Samoa,3
TO,"June 20, 2020",7,0.00%,-96.97%,Tonga,1
SB,"June 20, 2020",6,-50.00%,-95.00%,Solomon Islands,1
PG,"June 20, 2020",1,19.49%,32.16%,Papua New Guinea,374
MH,"June 20, 2020",5,,-91.67%,Marshall Islands (the),1
FM,"June 20, 2020",4,,-95.45%,Micronesia (Federated States of),1
FJ,"June 20, 2020",2,-8.11%,-87.12%,Fiji,34
WS,"June 21, 2020",3,200.00%,-92.31%,Samoa,3
TO,"June 21, 2020",7,0.00%,-97.22%,Tonga,1
SB,"June 21, 2020",6,-50.00%,-95.00%,Solomon Islands,1
PG,"June 21, 2020",1,14.20%,35.07%,Papua New Guinea,362
MH,"June 21, 2020",5,,-92.31%,Marshall Islands (the),1
FM,"June 21, 2020",4,,-95.45%,Micronesia (Federated States of),1
FJ,"June 21, 2020",2,0.00%,-86.15%,Fiji,36
WS,"June 22, 2020",3,200.00%,-92.31%,Samoa,3
TO,"June 22, 2020",7,0.00%,-97.14%,Tonga,1
SB,"June 22, 2020",6,-50.00%,-94.74%,Solomon Islands,1
PG,"June 22, 2020",1,9.03%,32.08%,Papua New Guinea,350
MH,"June 22, 2020",5,,-92.31%,Marshall Islands (the),1
FM,"June 22, 2020",4,,-95.83%,Micronesia (Federated States of),1
FJ,"June 22, 2020",2,8.33%,-85.00%,Fiji,39
WS,"June 23, 2020",3,200.00%,-92.68%,Samoa,3
TO,"June 23, 2020",6,0.00%,-97.22%,Tonga,1
SB,"June 23, 2020",5,-50.00%,-94.74%,Solomon Islands,1
PG,"June 23, 2020",1,3.65%,34.78%,Papua New Guinea,341
MH,"June 23, 2020",4,,-92.31%,Marshall Islands (the),1
FJ,"June 23, 2020",2,17.14%,-84.47%,Fiji,41
WS,"June 24, 2020",3,50.00%,-92.50%,Samoa,3
TO,"June 24, 2020",5,-50.00%,-97.14%,Tonga,1
SB,"June 24, 2020",4,-50.00%,-94.12%,Solomon Islands,1
PG,"June 24, 2020",1,-8.15%,23.86%,Papua New Guinea,327
FJ,"June 24, 2020",2,17.14%,-84.35%,Fiji,41
WS,"June 25, 2020",3,-33.33%,-94.59%,Samoa,2
TO,"June 25, 2020",5,0.00%,-97.30%,Tonga,1
SB,"June 25, 2020",4,-50.00%,-94.44%,Solomon Islands,1
PG,"June 25, 2020",1,-8.01%,28.08%,Papua New Guinea,333
FJ,"June 25, 2020",2,20.59%,-84.23%,Fiji,41
WS,"June 26, 2020",5,-66.67%,-97.44%,Samoa,1
TO,"June 26, 2020",4,0.00%,-97.37%,Tonga,1
SB,"June 26, 2020",3,100.00%,-89.47%,Solomon Islands,2
PG,"June 26, 2020",1,-10.08%,20.88%,Papua New Guinea,330
FJ,"June 26, 2020",2,26.47%,-83.65%,Fiji,43
WS,"June 27, 2020",4,-33.33%,-94.74%,Samoa,2
TO,"June 27, 2020",6,0.00%,-97.37%,Tonga,1
SB,"June 27, 2020",3,100.00%,-89.47%,Solomon Islands,2
PG,"June 27, 2020",1,-12.30%,19.71%,Papua New Guinea,328
FM,"June 27, 2020",5,0.00%,-95.83%,Micronesia (Federated States of),1
FJ,"June 27, 2020",2,23.53%,-84.15%,Fiji,42
WS,"June 28, 2020",4,-33.33%,-94.29%,Samoa,2
TO,"June 28, 2020",6,0.00%,-97.37%,Tonga,1
SB,"June 28, 2020",3,100.00%,-90.00%,Solomon Islands,2
PG,"June 28, 2020",1,-5.52%,22.58%,Papua New Guinea,342
FM,"June 28, 2020",5,0.00%,-95.83%,Micronesia (Federated States of),1
FJ,"June 28, 2020",2,19.44%,-84.07%,Fiji,43
WS,"June 29, 2020",4,-33.33%,-94.29%,Samoa,2
TO,"June 29, 2020",6,0.00%,-97.50%,Tonga,1
SB,"June 29, 2020",3,100.00%,-90.48%,Solomon Islands,2
PG,"June 29, 2020",1,1.14%,25.98%,Papua New Guinea,354
FM,"June 29, 2020",5,0.00%,-95.65%,Micronesia (Federated States of),1
FJ,"June 29, 2020",2,7.69%,-84.50%,Fiji,42
WS,"June 30, 2020",4,-33.33%,-94.12%,Samoa,2
VU,"June 30, 2020",7,,-98.48%,Vanuatu,1
TO,"June 30, 2020",6,0.00%,-97.37%,Tonga,1
SB,"June 30, 2020",3,200.00%,-85.00%,Solomon Islands,3
PG,"June 30, 2020",1,7.33%,27.08%,Papua New Guinea,366
FM,"June 30, 2020",5,,-95.83%,Micronesia (Federated States of),1
FJ,"June 30, 2020",2,-4.88%,-85.77%,Fiji,39
WS,"July 1, 2020",4,-33.33%,-94.12%,Samoa,2
VU,"July 1, 2020",7,,-98.53%,Vanuatu,1
TO,"July 1, 2020",6,0.00%,-97.14%,Tonga,1
SB,"July 1, 2020",3,300.00%,-81.82%,Solomon Islands,4
PG,"July 1, 2020",1,11.31%,27.72%,Papua New Guinea,364
FM,"July 1, 2020",5,,-95.83%,Micronesia (Federated States of),1
FJ,"July 1, 2020",2,2.44%,-85.05%,Fiji,42
WS,"July 2, 2020",4,0.00%,-94.59%,Samoa,2
VU,"July 2, 2020",7,,-98.51%,Vanuatu,1
TO,"July 2, 2020",6,0.00%,-96.97%,Tonga,1
SB,"July 2, 2020",3,300.00%,-80.95%,Solomon Islands,4
PG,"July 2, 2020",1,8.11%,22.87%,Papua New Guinea,360
FM,"July 2, 2020",5,,-96.00%,Micronesia (Federated States of),1
FJ,"July 2, 2020",2,4.88%,-84.81%,Fiji,43
WS,"July 3, 2020",4,200.00%,-91.18%,Samoa,3
VU,"July 3, 2020",7,,-98.55%,Vanuatu,1
TO,"July 3, 2020",6,0.00%,-96.67%,Tonga,1
SB,"July 3, 2020",3,50.00%,-85.71%,Solomon Islands,3
PG,"July 3, 2020",1,11.82%,27.24%,Papua New Guinea,369
FM,"July 3, 2020",5,,-95.83%,Micronesia (Federated States of),1
FJ,"July 3, 2020",2,-4.65%,-85.66%,Fiji,41
WS,"July 4, 2020",4,0.00%,-95.12%,Samoa,2
VU,"July 4, 2020",6,,-98.55%,Vanuatu,1
TO,"July 4, 2020",5,0.00%,-96.77%,Tonga,1
SB,"July 4, 2020",3,50.00%,-85.71%,Solomon Islands,3
PG,"July 4, 2020",1,14.63%,28.33%,Papua New Guinea,376
FJ,"July 4, 2020",2,-4.76%,-86.11%,Fiji,40
WS,"July 5, 2020",4,0.00%,-95.65%,Samoa,2
VU,"July 5, 2020",6,,-98.61%,Vanuatu,1
TO,"July 5, 2020",5,0.00%,-96.97%,Tonga,1
SB,"July 5, 2020",3,50.00%,-85.00%,Solomon Islands,3
PG,"July 5, 2020",1,16.08%,38.33%,Papua New Guinea,397
FJ,"July 5, 2020",2,-6.98%,-86.35%,Fiji,40
WS,"July 6, 2020",4,0.00%,-96.00%,Samoa,2
VU,"July 6, 2020",6,,-98.63%,Vanuatu,1
TO,"July 6, 2020",5,0.00%,-96.97%,Tonga,1
SB,"July 6, 2020",3,50.00%,-84.21%,Solomon Islands,3
PG,"July 6, 2020",1,14.97%,45.36%,Papua New Guinea,407
FJ,"July 6, 2020",2,-9.52%,-87.12%,Fiji,38
WS,"July 7, 2020",5,0.00%,-96.23%,Samoa,2
TO,"July 7, 2020",4,100.00%,-94.12%,Tonga,2
SB,"July 7, 2020",3,-33.33%,-90.00%,Solomon Islands,2
PG,"July 7, 2020",1,8.74%,45.26%,Papua New Guinea,398
FJ,"July 7, 2020",2,-7.69%,-87.71%,Fiji,36
WS,"July 8, 2020",5,-50.00%,-98.25%,Samoa,1
TO,"July 8, 2020",4,0.00%,-97.06%,Tonga,1
SB,"July 8, 2020",3,-50.00%,-89.47%,Solomon Islands,2
PG,"July 8, 2020",1,7.97%,38.87%,Papua New Guinea,393
FJ,"July 8, 2020",2,-23.81%,-89.08%,Fiji,32
WS,"July 9, 2020",5,-50.00%,-98.15%,Samoa,1
TO,"July 9, 2020",4,0.00%,-97.44%,Tonga,1
SB,"July 9, 2020",3,-50.00%,-90.00%,Solomon Islands,2
PG,"July 9, 2020",1,8.89%,41.52%,Papua New Guinea,392
FJ,"July 9, 2020",2,-41.86%,-91.53%,Fiji,25
WS,"July 10, 2020",6,-66.67%,-98.25%,Samoa,1
TO,"July 10, 2020",5,0.00%,-97.50%,Tonga,1
SB,"July 10, 2020",3,-33.33%,-90.00%,Solomon Islands,2
PG,"July 10, 2020",1,4.88%,33.91%,Papua New Guinea,387
NR,"July 10, 2020",4,,-66.67%,Nauru,1
FJ,"July 10, 2020",2,-53.66%,-93.54%,Fiji,19
WS,"July 11, 2020",7,-50.00%,-98.08%,Samoa,1
TO,"July 11, 2020",6,0.00%,-97.37%,Tonga,1
SB,"July 11, 2020",4,-33.33%,-89.47%,Solomon Islands,2
PG,"July 11, 2020",1,2.93%,35.79%,Papua New Guinea,387
NR,"July 11, 2020",5,,-66.67%,Nauru,1
FM,"July 11, 2020",3,,-88.24%,Micronesia (Federated States of),2
FJ,"July 11, 2020",2,-57.50%,-94.18%,Fiji,17
WS,"July 12, 2020",7,-50.00%,-97.92%,Samoa,1
TO,"July 12, 2020",6,0.00%,-97.37%,Tonga,1
SB,"July 12, 2020",4,-33.33%,-89.47%,Solomon Islands,2
PG,"July 12, 2020",1,-6.80%,29.37%,Papua New Guinea,370
NR,"July 12, 2020",5,,-66.67%,Nauru,1
FM,"July 12, 2020",3,,-88.24%,Micronesia (Federated States of),2
FJ,"July 12, 2020",2,-77.50%,-96.93%,Fiji,9
WS,"July 13, 2020",7,-50.00%,-97.78%,Samoa,1
TO,"July 13, 2020",3,200.00%,-91.67%,Tonga,3
SB,"July 13, 2020",5,-33.33%,-90.48%,Solomon Islands,2
PG,"July 13, 2020",1,-11.30%,23.63%,Papua New Guinea,361
NR,"July 13, 2020",6,,-66.67%,Nauru,1
FM,"July 13, 2020",4,,-88.89%,Micronesia (Federated States of),2
FJ,"July 13, 2020",2,-81.58%,-97.64%,Fiji,7
WS,"July 14, 2020",7,-50.00%,-97.87%,Samoa,1
TO,"July 14, 2020",5,0.00%,-94.59%,Tonga,2
SB,"July 14, 2020",4,0.00%,-89.47%,Solomon Islands,2
PG,"July 14, 2020",1,-6.53%,25.25%,Papua New Guinea,372
NR,"July 14, 2020",6,,-75.00%,Nauru,1
FM,"July 14, 2020",3,,-89.47%,Micronesia (Federated States of),2
FJ,"July 14, 2020",2,-77.78%,-97.32%,Fiji,8
WS,"July 15, 2020",7,0.00%,-97.73%,Samoa,1
TO,"July 15, 2020",4,100.00%,-94.87%,Tonga,2
SB,"July 15, 2020",6,-50.00%,-94.74%,Solomon Islands,1
PG,"July 15, 2020",1,-0.76%,29.57%,Papua New Guinea,390
NR,"July 15, 2020",5,,-75.00%,Nauru,1
FM,"July 15, 2020",3,,-89.47%,Micronesia (Federated States of),2
FJ,"July 15, 2020",2,-71.88%,-96.98%,Fiji,9
WS,"July 16, 2020",7,0.00%,-97.78%,Samoa,1
TO,"July 16, 2020",4,100.00%,-94.29%,Tonga,2
SB,"July 16, 2020",6,-50.00%,-94.44%,Solomon Islands,1
PG,"July 16, 2020",1,0.26%,27.18%,Papua New Guinea,393
NR,"July 16, 2020",5,,-75.00%,Nauru,1
FM,"July 16, 2020",3,,-90.00%,Micronesia (Federated States of),2
FJ,"July 16, 2020",2,-64.00%,-96.96%,Fiji,9
WS,"July 17, 2020",6,0.00%,-97.83%,Samoa,1
TO,"July 17, 2020",4,100.00%,-93.94%,Tonga,2
SB,"July 17, 2020",5,-50.00%,-94.12%,Solomon Islands,1
PG,"July 17, 2020",1,2.33%,24.92%,Papua New Guinea,396
FM,"July 17, 2020",3,,-89.47%,Micronesia (Federated States of),2
FJ,"July 17, 2020",2,-57.89%,-97.30%,Fiji,8
WS,"July 18, 2020",5,0.00%,-97.78%,Samoa,1
TO,"July 18, 2020",3,100.00%,-93.55%,Tonga,2
SB,"July 18, 2020",4,-50.00%,-94.74%,Solomon Islands,1
PG,"July 18, 2020",1,1.81%,22.74%,Papua New Guinea,394
FJ,"July 18, 2020",2,-58.82%,-97.61%,Fiji,7
WS,"July 19, 2020",5,0.00%,-97.83%,Samoa,1
TO,"July 19, 2020",3,100.00%,-92.59%,Tonga,2
SB,"July 19, 2020",4,-50.00%,-94.12%,Solomon Islands,1
PG,"July 19, 2020",1,8.11%,23.08%,Papua New Guinea,400
FJ,"July 19, 2020",2,55.56%,-95.16%,Fiji,14
WS,"July 20, 2020",5,0.00%,-97.96%,Samoa,1
VU,"July 20, 2020",4,,-98.73%,Vanuatu,1
SB,"July 20, 2020",3,-50.00%,-93.33%,Solomon Islands,1
PG,"July 20, 2020",1,15.51%,27.91%,Papua New Guinea,417
FJ,"July 20, 2020",2,142.86%,-94.06%,Fiji,17
WS,"July 21, 2020",6,0.00%,-98.08%,Samoa,1
VU,"July 21, 2020",3,,-96.30%,Vanuatu,3
TO,"July 21, 2020",5,-50.00%,-96.15%,Tonga,1
SB,"July 21, 2020",4,0.00%,-87.50%,Solomon Islands,2
PG,"July 21, 2020",1,16.40%,32.01%,Papua New Guinea,433
FJ,"July 21, 2020",2,162.50%,-92.73%,Fiji,21
WS,"July 22, 2020",5,100.00%,-96.30%,Samoa,2
VU,"July 22, 2020",3,,-95.12%,Vanuatu,4
TO,"July 22, 2020",7,-50.00%,-95.65%,Tonga,1
SB,"July 22, 2020",4,100.00%,-87.50%,Solomon Islands,2
PG,"July 22, 2020",1,12.31%,37.30%,Papua New Guinea,438
FM,"July 22, 2020",6,-50.00%,-94.74%,Micronesia (Federated States of),1
FJ,"July 22, 2020",2,166.67%,-91.78%,Fiji,24
WS,"July 23, 2020",4,400.00%,-90.74%,Samoa,5
VU,"July 23, 2020",3,,-94.05%,Vanuatu,5
TO,"July 23, 2020",8,-50.00%,-95.65%,Tonga,1
SB,"July 23, 2020",5,200.00%,-78.57%,Solomon Islands,3
PG,"July 23, 2020",1,15.01%,38.23%,Papua New Guinea,452
MH,"July 23, 2020",6,,-71.43%,Marshall Islands (the),2
FM,"July 23, 2020",7,-50.00%,-95.00%,Micronesia (Federated States of),1
FJ,"July 23, 2020",2,244.44%,-89.38%,Fiji,31
WS,"July 24, 2020",4,300.00%,-92.00%,Samoa,4
VU,"July 24, 2020",3,,-91.86%,Vanuatu,7
TO,"July 24, 2020",9,-50.00%,-96.43%,Tonga,1
SB,"July 24, 2020",6,100.00%,-87.50%,Solomon Islands,2
PG,"July 24, 2020",1,13.13%,40.44%,Papua New Guinea,448
NR,"July 24, 2020",8,,-80.00%,Nauru,1
MH,"July 24, 2020",5,,-71.43%,Marshall Islands (the),2
FM,"July 24, 2020",7,-50.00%,-95.24%,Micronesia (Federated States of),1
FJ,"July 24, 2020",2,350.00%,-87.67%,Fiji,36
WS,"July 25, 2020",4,300.00%,-92.16%,Samoa,4
VU,"July 25, 2020",3,,-91.86%,Vanuatu,7
TO,"July 25, 2020",9,-50.00%,-96.77%,Tonga,1
SB,"July 25, 2020",6,100.00%,-85.71%,Solomon Islands,2
PG,"July 25, 2020",1,15.74%,39.45%,Papua New Guinea,456
NR,"July 25, 2020",8,,-80.00%,Nauru,1
MH,"July 25, 2020",5,,-66.67%,Marshall Islands (the),2
FM,"July 25, 2020",7,,-95.45%,Micronesia (Federated States of),1
FJ,"July 25, 2020",2,457.14%,-86.91%,Fiji,39
WS,"July 26, 2020",4,300.00%,-92.16%,Samoa,4
VU,"July 26, 2020",3,,-89.89%,Vanuatu,9
TO,"July 26, 2020",9,-50.00%,-96.88%,Tonga,1
SB,"July 26, 2020",6,100.00%,-87.50%,Solomon Islands,2
PG,"July 26, 2020",1,10.50%,29.24%,Papua New Guinea,442
