,Date,Country,Seats_arrivals_intl,Number_of_flights_intl
427,2020-03-03,Micronesia (Federated States of),332.0,2.0
428,2020-03-04,Micronesia (Federated States of),0.0,0.0
429,2020-03-05,Micronesia (Federated States of),166.0,1.0
430,2020-03-06,Micronesia (Federated States of),0.0,0.0
431,2020-03-07,Micronesia (Federated States of),458.0,2.0
432,2020-03-08,Micronesia (Federated States of),166.0,1.0
433,2020-03-09,Micronesia (Federated States of),0.0,0.0
434,2020-03-10,Micronesia (Federated States of),332.0,2.0
435,2020-03-11,Micronesia (Federated States of),0.0,0.0
436,2020-03-12,Micronesia (Federated States of),166.0,1.0
437,2020-03-13,Micronesia (Federated States of),0.0,0.0
438,2020-03-14,Micronesia (Federated States of),418.0,2.0
439,2020-03-15,Micronesia (Federated States of),166.0,1.0
440,2020-03-16,Micronesia (Federated States of),0.0,0.0
441,2020-03-17,Micronesia (Federated States of),292.0,2.0
442,2020-03-18,Micronesia (Federated States of),0.0,0.0
443,2020-03-19,Micronesia (Federated States of),0.0,0.0
444,2020-03-20,Micronesia (Federated States of),0.0,0.0
445,2020-03-21,Micronesia (Federated States of),332.0,2.0
446,2020-03-22,Micronesia (Federated States of),0.0,0.0
447,2020-03-23,Micronesia (Federated States of),0.0,0.0
448,2020-03-24,Micronesia (Federated States of),0.0,0.0
449,2020-03-25,Micronesia (Federated States of),0.0,0.0
450,2020-03-26,Micronesia (Federated States of),0.0,0.0
451,2020-03-27,Micronesia (Federated States of),0.0,0.0
452,2020-03-28,Micronesia (Federated States of),166.0,1.0
453,2020-03-29,Micronesia (Federated States of),126.0,1.0
454,2020-03-30,Micronesia (Federated States of),0.0,0.0
455,2020-03-31,Micronesia (Federated States of),0.0,0.0
456,2020-04-01,Micronesia (Federated States of),0.0,0.0
457,2020-04-02,Micronesia (Federated States of),0.0,0.0
458,2020-04-03,Micronesia (Federated States of),0.0,0.0
459,2020-04-04,Micronesia (Federated States of),0.0,0.0
460,2020-04-05,Micronesia (Federated States of),0.0,0.0
461,2020-04-06,Micronesia (Federated States of),0.0,0.0
462,2020-04-07,Micronesia (Federated States of),0.0,0.0
463,2020-04-08,Micronesia (Federated States of),0.0,0.0
464,2020-04-09,Micronesia (Federated States of),0.0,0.0
465,2020-04-10,Micronesia (Federated States of),0.0,0.0
466,2020-04-11,Micronesia (Federated States of),0.0,0.0
467,2020-04-12,Micronesia (Federated States of),166.0,1.0
468,2020-04-13,Micronesia (Federated States of),0.0,0.0
469,2020-04-14,Micronesia (Federated States of),0.0,0.0
470,2020-04-15,Micronesia (Federated States of),0.0,0.0
471,2020-04-16,Micronesia (Federated States of),0.0,0.0
472,2020-04-17,Micronesia (Federated States of),0.0,0.0
473,2020-04-18,Micronesia (Federated States of),0.0,0.0
474,2020-04-19,Micronesia (Federated States of),0.0,0.0
